"image.alt","image.src","image.href","image.text"
"1930s Style Ivory Satin Harlow #Wedding Gown #uniqevintage","https://s-media-cache-ak0.pinimg.com/236x/f6/49/73/f64973f7439f91fe9155c7b6bf747699.jpg","https://www.pinterest.com/pin/55661745370094506/",""
"purple white and silver #Gatsby wedding cake","https://s-media-cache-ak0.pinimg.com/236x/9e/cd/5e/9ecd5e60265b66d0fffea5cd5a2d1a45.jpg","https://www.pinterest.com/pin/55661745370082565/",""
"pink bow wedding cake | Sarah Bray Photography","https://s-media-cache-ak0.pinimg.com/236x/3f/86/a9/3f86a942e880f9ef330753c75cfb2c3f.jpg","https://www.pinterest.com/pin/56787645275097711/",""
"vintage save the date | Mary Fields Photography | Glamour & Grace","https://s-media-cache-ak0.pinimg.com/236x/cb/14/ec/cb14ecb9b787309326cf5a34e23c6aaa.jpg","https://www.pinterest.com/pin/453667362436642267/",""
"hankies for happy tears | Justin DeMutiis Photography","https://s-media-cache-ak0.pinimg.com/236x/8a/d2/23/8ad223f21673d065fff6dd14cb105db7.jpg","https://www.pinterest.com/pin/132434045268383376/",""
"monogrammed handkerchief | Photography by sheachristine.com","https://s-media-cache-ak0.pinimg.com/236x/a8/2e/ac/a82eac7904ee30d3c906384d327e5190.jpg","https://www.pinterest.com/pin/91620173642492459/",""
"Vintage seating","https://s-media-cache-ak0.pinimg.com/236x/cc/bf/ef/ccbfef63907b40263ca602b3732d07d5.jpg","https://www.pinterest.com/pin/154177987218061773/",""
"vintage china table numbers","https://s-media-cache-ak0.pinimg.com/236x/29/02/c2/2902c2710f6fbb80037d4c13c94a1688.jpg","https://www.pinterest.com/pin/286330488780079273/",""
"vintage glam wedding | Larissa Nicole Photography","https://s-media-cache-ak0.pinimg.com/236x/0a/ae/c0/0aaec0a9bf22d493507feb6bf063ffd0.jpg","https://www.pinterest.com/pin/132434045268370907/",""
"bobbin escort cards","https://s-media-cache-ak0.pinimg.com/236x/a3/30/f0/a330f046f8c9264667a7b40c615a3674.jpg","https://www.pinterest.com/pin/158329743119232796/",""
"Fabulous Art Deco Inspired Wedding Cakes","https://s-media-cache-ak0.pinimg.com/236x/8b/ab/15/8bab153b383f6753f4cb2af30915d96b.jpg","https://www.pinterest.com/pin/91620173645929903/",""
